,input,pred,output
941,charas,चारस,चरस
942,mistriyan,मिस्त्रियां,मिस्त्रियां
943,jagriti,जग्रिती,जागृति
944,bhogte,भोगते,भोगते
945,antayant,अंतायंत,अन्त्यन्त
946,ghataatop,घटाटोप,घटाटोप
947,haraval,हरवाल,हरावल
948,dhaatuein,धातुयें,धातुएं
949,sambit,सम्बित,संबित
950,biggest,बिजग्सट,बिगेस्ट
951,antdiyan,अंत्दियां,अंतडियां
952,chadhne,छांडे,चढ़ने
953,motherson,मोथरसों,मदरसन
954,neet,नीत,नीट
955,grenite,ग्रिनेटे,ग्रेनाइट
956,bhrashtachariyon,भ्रश्चार्ययों,भ्रष्टाचारीयों
957,advivas,अदवविस,अधिवास
958,neetiyon,नितियों,नीतियों
959,fainn,फैन्,फैंन
960,kabahaa,कबाहा,कबहा
961,kottayam,कोट्याम,कोट्टयम
962,lagataar,लगातार,लागातार
963,halmatpura,हलम्पत्रा,हलमतपुरा
964,greenville,ग्रिवेलि,ग्रीनविल
965,pahante,पहंते,पहनते
966,helper,हेलपर,हेल्पर
967,fatehgadh,फतहेहा,फतेहगढ़
968,chootile,चुतेले,चुटीले
969,jetha,जेथा,जेठा
970,substensis,सुबस्सिंटिस,सबस्टेंसिस
971,kanghe,कंघे,कंघे
972,ehsaas,हससा,एहसास
973,kurvi,कुरवी,कर्वी
974,kurvetee,कुर्वीत,कुर्वेती
975,fitzgerald,फिज्ट्रलडड,फिजराल्ड़
976,aapkaa,आपका,आपका
977,maum,मौम,मौम
978,arunai,अरुनाई,अरुणाई
979,kriptocurrencyon,क्रिट्पोरोक्रररिन,क्रिप्टोकरेंसियों
980,haaranaa,हाराना,हारना
981,pradesh,प्रदेश,प्रदेश
982,sekhar,सेखर,सेखर
983,atul,अतुल,अतुल
984,wilkinson,विलककनसनो,विल्किंसन
985,ghataaegee,घटाएगी,घटाएगी
986,laguna,लगुना,लगुना
987,badhaon,बढ़ाओं,बाधाओं
988,bharadwaj,भरदावज़,भारद्वाज
989,swayam,स्वायम,स्वयँ
990,aakandon,आकांडों,आकंड़ों
991,taras,तरस,तरस
992,barsata,बरससा,बरसाता
993,prashikshu,प्रशिक्षु,प्रशिक्षु
994,patrakaarvarta,पत्रवक््रतार,पत्रकारवार्ता
995,naimul,नैमुल,नैमुल
996,amarpal,अमरपाल,अमरपाल
997,ardhavishwaas,अर्धववविससस,अर्धविश्वास
998,warnavyavasthaavaadiyon,वर्ण्वव््याााािियोों,वर्णव्यवस्थावादियों
999,fatma,फतमा,फातमा
1000,mindtree,मिं्ट्री,माइंडट्री
1001,nihlaani,निहलानी,निहलानी
1002,capdhari,का्पररी,कैपधारी
1003,parnstaron,पर्स्न्रों,पर्नस्टारों
1004,ghareebon,घरीबों,ग़रीबों
1005,labeling,लबेलिंग,लेबलिंग
1006,state,स्टाटे,स्टेट
1007,prashasnik,प्रशासनिक,प्रशासनिक
1008,kolhapur,कोलहपुर,कोल्हापुर
1009,sanyukt,सं्युक्त,संयुक्त
1010,francisko,फ्रैस्किंक,फ्रांसिस्को
1011,prashnottari,प्रश्नोत्री,प्रश्नोत्तरी
1012,erica,इरिका,एरिका
1013,rakhna,रखना,रखना
1014,langdon,लांगडों,लैंगडन
1015,jhauvaa,झौवा,झउवा
1016,gyonth,ग्योंथ,ग्योंठ
1017,telon,टेलोन,तेलों
1018,media,मेडिया,मीडिया
1019,nahargadh,नहरागढ़,नाहरगढ
1020,ballabh,बल्ला,बल्लभ
1021,mansfield,मैन्फिल्ड,मैन्सफील्ड
1022,nikalogi,निकालोगी,निकलेगी
1023,virodhabhasi,विरोधाभासी,विरोधाभासी
1024,pratestent,प्राटेस्टेंट,प्राटेस्टेंट
1025,raajon,राजों,राजों
1026,naagmandal,नागममदल,नागमण्डल
1027,purwafalguni,पुर्वाललुनीन,पूर्वाफाल्गुनी
1028,mtake,म्टाके,एमटेक
1029,braat,ब्रात,बरात
1030,bhautikwadiyon,भौतिकावियांों,भौतिकवादियों
1031,mandi,मांडी,मंडी
1032,mahanatam,महानतम,महानतम
1033,south,सौथ,साउथ
1034,sanyuktavastha,सं््यक््ततााा,संयुक्तावस्था
1035,petroselee,पेट्रोसिली,पेट्रोसेली
1036,prishthabhoomiyon,पृष्थभुंजियोो,पृष्ठभूमियों
1037,chhahon,छहों,छहों
1038,janeudharee,जनेुधीरी,जनेऊधारी
1039,standhaari,स्तांधरी,स्तनधारी
1040,rukate,रुकाते,रुकते
1041,peranormal,पेरननोमल,पैरानॉर्मल
1042,industrial,इंडस्ट्रियय,इंडस्ट्रियल
1043,kanchipuram,कनचिपुरम,कांचीपुरम
1044,hong,होंग,हॉन्ग
1045,electronics,इलकक्ट्ररििंस,इलेक्ट्रॉनिक्स
1046,chuneen,चुनी,चुनीं
1047,taavij,ताविज,तावीज
1048,doranda,दोरंडा,डोरंडा
1049,raalod,रालोड,रालोद
1050,antony,अंटोनी,एंटोनी
1051,dilaaega,दिलागा,दिलाएगा
1052,khemik,खेमिक,खेमिक
1053,shadadhi,शददाही,शदधि
1054,panama,पनामा,पनामा
1055,stan,स्टान,स्टैन
1056,taja,ताज,ताजा
1057,seattle,स्टीले,सीऐटल
1058,very,वेरी,वैरी
1059,bulletin,बुललिटन,बुलेटिन
1060,patotsav,पटोट्सव,पाटोत्सव
1061,laundry,लांड्री,लॉन्ड्री
1062,shbana,शबबान,शबाना
1063,mithaiyaan,मिथायाँ,मिठाइयाँ
1064,phoodon,फूड़ों,फूडॉन
1065,mogali,मोगली,मोगली
1066,raajsthanvasiyon,राज्स्यासवियोंं,राजस्थानवासियों
1067,karab,कराब,करब
1068,jamudiya,जमुदिया,जामुड़िया
1069,talabgaar,तलबागर,तलबगार
1070,gaytri,गात््री,गायत्री
1071,jarurih,जरूहि,जरूरीः
1072,bannari,बननारी,बन्नारी
1073,khanaudaa,खनौौडा,खनौदा
1074,yarushalem,यूर्शेले,यरूशलेम
1075,phoos,फूस,फूस
1076,augusta,अगुस्ता,अगस्ता
1077,kahaavah,कहहवा,कहावह
1078,kmere,केमरे,कमेरे
1079,odom,ओडीम,ओडोम
1080,bernard,बर्नेड,बर्नार्ड
1081,agsta,एज्ससस,अगस्ता
1082,antarmukh,अन्त्रमुख,अंतर्मुख
1083,karneshvardhaam,कर्णेश्वरधार,कर्णेश्वरधाम
1084,pythagoras,पिथागोरास,पाइथागोरस
1085,dhaah,धाह,ढाह
1086,aata,आता,आटा
1087,bettiah,बेत्यिह,बेतिया
1088,mejbani,मेजबानी,मेज़बानी
1089,chamach,चमचच,चमच
1090,achchi,अच्ची,अच्छी
1091,nimnavat,निमनात,निम्नवत्
1092,upadrawon,उपदर्वों,उपद्रवों
1093,qss,कीएसएसस,क्यूएसएस
1094,sreeleathers,स्रीलेशश,श्रीलेदर्स
1095,sabhaen,सभाएं,सभाएं
1096,dimaak,दिमाक,दिमाक
1097,aryama,अर्यमा,अर्यमा
1098,jutati,जुतती,जुटाती
1099,shankacharaachaarya,शाकचाराचार्य,शंकचराचार्य
1100,radiopremi,राडीप्रोमी,रेडियोप्रेमी
1101,kalmein,कलमें,कलमें
1102,evava,ववाा,एवव
1103,siddhaant,सिद्धांत,सिद्घांत
1104,kathhnaeeyon,खाथनायों,कठनाईयों
1105,fefada,फेफाडा,फेफड़ा
1106,uddhaatan,उद्धातन,उद्धाटन
1107,khullamkhulla,खुल्लक्कुला,खुल्लमखुल्ला
1108,sharabon,शरबाों,शराबों
1109,vigyanon,वियग्ञों,विज्ञानों
1110,chashma,चश्मा,चष्मा
1111,shrikar,श्रीकर,श्रीकर
1112,andhabhakto,अंधाभक्तो,अंधभक्तो
1113,man,मान,मैन
1114,dasila,दसिला,डसीला
1115,black,ब्लाक,ब्लैक
1116,wishesh,विशशे,विशेश
1117,udaan,उदान,उड़ान
1118,suriname,सुरिनामे,सूरीनाम
1119,nadaf,नाफ़,नदफ
1120,fund,फूंड,फंड
1121,mithhaiyaan,मिथाहायँ,मिठाइयाँ
1122,kaipdhari,कैप्ररी,कैपधारी
1123,sanghathanamantriyon,संंघित्याररोंंं,संगठनमंत्रियों
1124,prabhanmantri,प्रभंंत्र्ती,प्रभानमंत्री
1125,zuban,ज़बान,ज़ुबान
1126,dhandon,धांडों,धंधों
1127,hammond,हममोंड,हैमंड
1128,dhamma,धम्मा,धम्मा
1129,leedaron,लीडरर,लीडरों
1130,urvarakon,उर्वाकों,उर्वरकों
1131,klozup,क्लापु,क्लोज़अप
1132,ranjkatha,रंजकाथा,रंजकता
1133,hugli,हुगली,हुगली
1134,funkane,फुंकने,फुंकने
1135,vyapak,व्याप,व्यापक
1136,sohrai,सोहराई,सोहराई
1137,karmaacharee,कर्माचरी,कर्माचारी
1138,ogastaavestalaind,उग्सालतालवास्वंड,ऑगस्टावेस्टलैंड
1139,holding,हल्डिंग,होल्डिंग
1140,agencyyon,एग्येनियन,ऐजेंसियों
1141,bauer,बौर,ब्युर
1142,kalasaanaa,कलासाना,कलसाना
1143,daanshil,दाशशिल,दानशील
1144,dubana,दुबाना,डूबना
1145,akhuaapaadaa,अखुपाााा,अखुआपाड़ा
1146,sarvjaateeya,सर््जाियत,सर्वजातीय
1147,russell,रससलल,रसल
1148,awashist,अवाशिस्त,अवशिष्ट
1149,suzlon,सुजलों,सुज़लोन
1150,loksabhavalee,लोक्षावाली,लोकसभावाली
1151,samprati,सम्परती,संप्रति
1152,pakaude,पकौड़,पकौड़े
1153,mukarrar,मुकरररर,मुक़र्रर
1154,saboodaane,सबुदाने,साबूदाने
1155,linmarga,लिंगरााा,लिंमर्ग
1156,kaushik,कौषिक,कौशिक
1157,patil,पटील,पाटिल
1158,assam,अससम,असम
1159,vigyan,विज्ञान,विज्ञान
1160,mukhyamantriyon,मुख्यमंत्रियों,मुख्यमन्त्रियों
1161,cristis,क्रिसिटिस,क्रिस्टिस
1162,cerebra,सेरेब्र,सेरेब्रा
1163,prabhaanmantree,प्रभांत्मनी,प्रभानमंत्री
1164,pittsburgh,पित्स्बर्ग,पिट्सबर्ग
1165,soccer,सॉक्सर,सॉकर
1166,dublin,डुबलिन,डबलिन
1167,aaryika,आर्यका,आर्यिका
1168,jalapot,जलापोट,जलपोत
1169,fontana,फोंतना,फोंटाना
1170,janbhawna,जनभवान,जनभावना
1171,dhairyavaan,धार्यावां,धैर्यवान
1172,andarkhane,अंदरखखने,अंदरखाने
1173,murgipalan,मुरिगपललन,मुर्गीपालन
1174,kaaloniwaasiyon,कालोविनियासों,कालोनीवासियों
1175,beverages,बेवरगेस,बेवरेजेस
1176,el,एल,ऐल
1177,classon,क्लासन,क्लासों
1178,dabangata,दबंगाता,दबंगता
1179,kolorado,कोलोराडो,कोलोराडो
1180,jyada,ज्यादा,ज़यादा
1181,catholicon,काथोलिकों,कैथोलिकों
1182,mwp,एमपी,एमडब्ल्यूपी
1183,kumar,कुमार,कुमार
1184,daphan,दफान,द़फन
1185,hanfte,हैंफ्ट,हांफते
1186,chhallaa,छलला,छल्ला
1187,texmaco,टेक्स्कोम,टेक्समैको
1188,dhaak,धक,धाक
1189,stein,स्टेन,स्टीन
1190,inhalation,हैनलियेशन,इनहेलेशन
1191,duneerti,दुनरीती,दुर्नीति
1192,amrohi,अमोरीह,अमरोही
1193,cigretton,सिडर्टेन,सिगरेटों
1194,kurmi,कुरमी,कुर्मी
1195,aasteen,आस्तीन,आस्तीन
1196,adhiwas,अधिवास,अधिवास
1197,pityooniya,पित्युनिया,पिट्यूनिया
1198,verger,वर्गर,वर्गर
1199,takah,तका,तकः
1200,tremasik,ट्रेमसिक,त्रैमासिक
1201,luna,लुना,लूना
1202,sutrapada,सुत्रापडा,सूत्रपाडा
1203,amit,अमित,अमित
1204,dhaagaa,धागा,धागा
1205,vyagra,व्याग्रा,व्यग्र
1206,haathe,हाथे,हाथे
1207,gujarata,गुजरता,गुजारता
1208,halchal,हालचल,हालचाल
1209,dit,दीटी,डिट
1210,circulation,सरक्वेल्यन,सर्किलेशन
1211,achyut,अयुत्,अच्युत
1212,thanvi,थानवी,थानवी
1213,pravrittivigyanon,प्रवितित्यििगवननों,प्रवृत्तिविज्ञानों
1214,jyada,ज्यादा,ज़्यादा
1215,jaanchkarata,जाँचकरता,जांचकर्ता
1216,vivekadhikaron,विवेखकादररों,विवेकाधिकारों
1217,kaushal,कौशल,कौशल
1218,baalti,बाल्टी,बाल्टी
1219,vidyuteekrit,विद्युतिकृत,विद्युतीकृत
1220,halisahar,हलिशारर,हालिशहर
1221,ploskee,प्लोसी,प्लोस्की
1222,risane,रिसने,रिसने
1223,rishtedaaro,रिश्टेदारो,रिश्तेदारो
1224,workcharge,वर्क्ररर,वर्कचार्ज
1225,pratiyukti,प्रतियुक्ति,प्रतियुक्ति
1226,vasulta,वसुलता,वसूलता
1227,vishvarakt,विश्वरक्त,विश्वरक्त
1228,wireless,वेरलेस,वायरलेस
1229,katrina,कत्रिना,कैटरीना
1230,yakshadhipati,यक्षापितती,यक्षाधिपति
1231,khelaane,खेलाने,खेलाने
1232,raidcras,इरेड्सास,रैडक्रास
1233,khandelwal,खंडेलवाल,खंडेलवाल
1234,coachella,कोचलेला,कोचेला
1235,gray,ग्राय,ग्रे
1236,propellent,प्रॉलेप्टे,प्रोपेलेंट
1237,buldhana,बुल्धाना,बुलढाना
1238,kamere,कमेरे,कमेरे
1239,paancholaas,पचनोलास,पांचोलास
1240,uthaaeange,उठाएंगे,उठाएँगे
1241,patkathayen,पटकाथयें,पटकथाएं
1242,unnatiyon,उन्नियों,उन्नतियों
1243,putla,पुटला,पुतला
1244,srujanvigyaani,स्रुगवनिनियाय,सृजनविज्ञानी
1245,ridge,रिडगे,रिज
1246,nineteez,निनेतीज,नाइनटीज
1247,somi,सोमी,सोमी
1248,ghotaalebaajon,घोटललाबोों,घोटालेबाजों
1249,anuchit,अनुचित,अनुचित
1250,gaumutra,गौमुत्रा,गौमूत्र
1251,mum,मूम,मम
1252,khariya,खरिया,खरिया
1253,duar,दुआर,दुआर
1254,bremerton,ब्रेम्टर,ब्रेमटन
1255,baraamad,बरामाद,बरामद
1256,midnapore,मिंडपोरे,मिदनापुर
1257,eneeyoo,नेियू,एनईयू
1258,shreemahapoorn,श्रीरीरूून,श्रीमहापूर्ण
1259,kanthahar,कंथहहर,कंठहार
1260,error,इरोर,एरर
1261,ponding,पंडिंग,पोंडिंग
1262,tantra,तंत्रा,तंत्र
1263,neelaabh,नीलभ,नीलाभ
1264,judai,जुदाई,जुदाई
1265,ubarkar,उबरकर,उबरकर
1266,besin,बेसिन,बेसिन
1267,bhilai,भिलाई,भिलाई
1268,bakhshate,बाख्ते,बख्शते
1269,garrison,गर्सिनों,गेरीसन
1270,bhusvami,भुस्वामी,भूस्वामी
1271,porbandar,पोरबंदार,पोरबंदर
1272,baitool,बैटूल,बैतूल
1273,distrabyuters,डिस्ट्रब्यूस्ट्र,डिस्ट्रब्यूटर्स
1274,sarahi,सरही,सराही
1275,clifton,क्लिफिटन,क्लिफ्टन
1276,saga,साग,सागा
1277,pravritriyon,प्रवित्रियोंं,प्रवृत्रियों
1278,romeoville,रोमोहिवेल,रोमियोविल
1279,bataayaaki,बातायकी,बतायाकि
1280,nyutest,न्युस्टट,न्यूटेस्ट
1281,putta,पुत्ता,पुट्टा
1282,pailot,पैलोट,पायलट
1283,learn,लीर्य,लर्न
1284,wajood,वजुू,वजूद
1285,arthavyavasthaah,अर्थव्््््ा्था,अर्थव्यवस्थाः
1286,lehrayi,लेहरायी,लहराई
1287,maadhikhedhaa,मधिधेखाा,माड़ीखेड़ा
1288,tezpur,तेजपुर,तेज़पुर
1289,atri,अत्री,अत्री
1290,kush,कुश,कुश
1291,junction,जन्क्शन,जंक्शन
1292,wiwekadhikaron,विवेखेकारररों,विवेकाधिकारों
1293,paaliyon,पालियों,पालियों
1294,shararat,शराता,शरारत
1295,ria,रीआई,रिया
1296,dhaavakon,धावकों,धावकों
1297,mahabaleshwar,महाबेश्वर,महाबलेश्वर
1298,chauda,चौड़ा,चौड़ा
1299,underwood,उंदररूड,अंडरवुड
1300,avuti,अवुती,आवृत्ति
1301,vishwasniiya,विश्वसिियय,विश्वसनीय
1302,khanna,खनना,खन्ना
1303,vyakteeyon,व्यक्तियों,व्यक्तीयों
1304,shving,श्विंग,श्विंग
1305,sanchari,संचारी,संचारी
1306,munafa,मुनफा,मुनाफा
1307,vershan,वर्षण,वर्शन
1308,tani,तानी,तनी
1309,phaade,फा़े,फाड़े
1310,asthetic,अस्थिटिक,एस्थेटिक
1311,mahanideshak,महानीदेकक,महानिदेशक
1312,reeta,रीता,रीता
1313,lela,लेला,लेलऽ
1314,gomukh,गोमुख,गौमुख
1315,dhaarak,धारक,धारक
1316,evav,वाई,एवव
1317,parosane,परोसने,परोसने
1318,najarandaaz,नाजरादाज,नजरंदाज
1319,aarya,अर्या,आर्यो
1320,canterbari,कैंटररबी,कैंटरबरी
1321,davindarpal,दविंदरपाल,दविन्दरपाल
1322,paithelojist,पैलेट्टिस्थ,पैथेलॉजिस्ट
1323,agyat,अग्यत,अज्ञात
1324,raashtra,राश्त््,राष्ट्रा
1325,kyooaaeepeees,क्यूपीयी,क्यूआईपीएस
1326,aaraam,आराम,आराम
1327,bush,बुश,बुश
1328,vandemataram,वंडेमातरर,वन्देमातरम्
1329,plus,प्लूस,पल्स
1330,raashtron,राष्ट्रों,राष्ट्रोंं
1331,kingkhan,किंगखान,किंगखान
1332,pushkar,पुश्कर,पुष्कर
1333,maharaja,महराजा,महाराजा
1334,oeeef,आईओईफी,ओईएफ
1335,sube,सुबे,सूबे
1336,nimkathana,निकममााा,नीमकाथाना
1337,samdharshni,संध्रश्नी,समदर्शिनी
1338,baramade,बरामाडे,बरामदे
1339,bhalu,भालू,भाालू
1340,achivement,अचिवेमेंट,अचीवमेंट
1341,vatar,वातर,वाटर
1342,thief,थीआईईई,थीफ
1343,triya,त्रिया,त्रिया
1344,anton,अंटों,एंटोन
1345,patki,पटकी,पटकी
1346,aaryanas,अर्यासं,आर्यनस
1347,julaahon,जुलाहों,जुलाहों
1348,siwan,सिवान,सिवान
1349,tapuwo,तपुवो,टापुओं
1350,emerald,इमेरल्ड,एमरल्ड
1351,katihar,कतिहर,कटिहार
1352,aalha,अलाहा,आल्हा
1353,gareebon,गरीबों,ग़रीबों
1354,ate,एटी,अते
1355,jain,जैन,जैन
1356,mattancheri,मत्तांचेरी,मट्टानचेरी
1357,kheda,खेड़ा,खेड़ा
1358,langaron,लंगरों,लंगरों
1359,paints,पैंट्स,पेंट्स
1360,sarkaren,सरकरें,सरकारें
1361,jadhav,धाज़,जाधव
1362,mejbaan,मेजबान,मेज़बान
1363,oxys,ओक्सस,ऑक्सीज
1364,dviarthi,द्वियर्थि,द्विअर्थी
1365,shumali,शुमली,शुमाली
1366,bhisham,भीशम,भीष्म
1367,activa,आक्तिवा,ऐक्टिवा
1368,tadanrustee,तादार्सूनी,तदंरुस्ती
1369,flesh,फ्लेश,फ्लेश
1370,jilavasiyon,जिलावसियों,जिलावासियों
1371,pasco,पैस्को,पास्को
1372,brahmasiddhi,ब्रहसमिद्धि,ब्रह्मसिद्धि
1373,stone,स्टोन,स्टोन
1374,thermax,थर्मक्स,थरमैक्स
1375,coon,कून,कून
1376,vidhansabhaen,विधानशाएं,विधानसभाएं
1377,jeevvigyaniyon,जिविवज्ञाियों,जीवविज्ञानियों
1378,kshin,क्षिन,क्षीण
1379,alaymani,अलमानी,अलयमनी
1380,vishnu,विश्नु,विष्णु
1381,webb,वेबबब,वेब
1382,mangalmoortih,मंगलुर्थित,मंगलमूर्तिः
1383,fyuji,फ़युजी,फ्यूजी
1384,entreeks,इंट्रिक्स,एंट्रीक्स
1385,aleem,अलीम,अलीम
1386,sanshayon,संशयों,संशयों
1387,ghumakkdi,घुमकक्डी,घुमक्कड़ी
1388,communicators,कम्नोक्यम्रर्स,कम्युनिकेटर्स
1389,ross,रॉस,रॉस
1390,aaboorod,आबूरोड,आबूरोड
1391,dhundh,धुंध,ढूंढ
1392,arushi,अरुशी,आरुषि
1393,dradh,द्राध,दृढ़
1394,bantata,बंतता,बंटता
1395,mahaadharmaadhyaksha,महाधर्मक्ष््या,महाधर्माध्यक्ष
1396,banvaa,बानवा,बनवा
1397,pes,पीस,पेस
1398,aagaman,अगानम,आगमन
1399,daw,दाव,दाव
1400,tankar,तंकर,टंकार
1401,eastvale,इस्टवेल,ईस्टवेल
1402,chikhali,छिकली,चिखली
1403,massey,मससे,मैसी
1404,ichchhee,इच्छी,इच्छी
1405,pramukhataapoorwak,प्रमुखार्तूवक,प्रमुखतापूर्वक
1406,swaasthyaheenataa,स्वास्थाहित्यााा,स्वास्थ्यहीनता
1407,water,वाटर,वाटर
1408,denewaali,देनेवाली,देनेवाली
1409,vidyaathyon,विद्याथ्यों,विद्याथयों
1410,kursiyon,कुरसियों,कुर्सियों
1411,ladki,लाडकी,लड़की
1412,achanbha,अचांभ,अचंभा
1413,visangatiyaa,निस्तियााा,विसंगतिया
1414,sirtee,सिर्ती,सिरती
1415,jauhari,जौहरी,जौहरी
1416,khurpaka,खुरपका,खुरपका
1417,alasi,अलासी,आलसी
1418,sahovaliya,सहोवियाला,साहोवालिया
1419,hogis,होगिस,होगिस
1420,yarooshaleim,यूरीलाहे,यरूशलेम
1421,sametati,सेमतती,समेटती
1422,slidon,स्लिडों,स्लाइडों
1423,pakanevala,पाकनेवाला,पकानेवाला
1424,gtor,गोटर,जीतोड़
1425,roohelkhand,रोहेखेंडू,रूहेलखंड
1426,manner,मननर,मैनर
1427,vidisha,विदिशा,विदिशा
1428,asamaany,असमानी,असमान्य
1429,submission,सम्बशशन,सबमिशन
1430,vipreetataa,विप्रतिता,विपरीतता
1431,shreekrushnan,श्रीक्ष्णण,श्रीकृष्णन
1432,bhavabhivyaktiyon,भववभियायकितियों,भावाभिव्यक्तियों
1433,ubhregaa,उभरेगा,उभरेगा
1434,skipper,स्कीपरप,स्किपर
1435,swarthparak,स्वर्थप्रक,स्वार्थपरक
1436,hanson,हंसों,हेनसन
1437,dhamm,धम्म,धम्म
1438,yemmiganur,येमिमगुरर,येम्मिगनुर
1439,tyohaar,तोयाहर,त्यौहार
1440,dhakelte,धकेलेट,धकेलते
1441,bangravala,बंग्रवाला,बंगरावाला
1442,pratishthavale,प्रतिशाववेेे,प्रतिष्ठावाले
1443,karykartaaon,कार्यक्राओं,कार्यकर्ताओं
1444,nodaraanee,नोदररीी,नोडरानी
1445,riya,रिया,रिया
1446,khaastaur,खास्तुर,ख़ासतौर
1447,pardesi,पररडेसी,परदेसी
1448,sparivar,स्पररवा,सपरिवार
1449,kauplaiks,काप्लास,काॅप्लेक्स
1450,lipaaee,लीपाई,लिपाई
1451,kushaan,कुशान,कुषाण
1452,polythenon,फोमेटनेन,पॉलिथीनों
1453,atwaal,अतावल,अटवाल
1454,two,ट्वो,टु
1455,meharaam,मेहराम,मेहराम
1456,leandro,लेंड्रो,लियान्ड्रो
1457,laamiyan,लम्यााँ,लामियां
1458,vichaarakon,विचाकोों,विचारकों
1459,amdi,अमीडी,आमदी
1460,foodworks,फ़ोड्रूक्स,फ़ूडवर्क्स
1461,ved,वेड,वेड
1462,broke,ब्रोके,ब्रोक
1463,chenkein,चेंकें,छींके
1464,jwar,ज्वार,ज्वार
1465,jensen,जेनसेन,जेन्सन
1466,jin,जीनन,जीन
1467,manchanda,मंचनाड़ा,मनचंदा
1468,aagashe,आगाशे,आगाशे
1469,ramtek,रामतेक,रामटेक
1470,dhaiya,धायय,ढैया
1471,pik,पीक,पिक
1472,matsyavatar,मत्स्यावतर,मत्स्यावतार
1473,jalsansadhan,जलसंसान,जलसंसाधन
1474,arymaa,अर्मया,अर्यमा
1475,dhandhekhoree,धनखेधेरी,धंधेखोरी
1476,bazaru,बजारू,बाजारू
1477,farmer,फरमेर,फार्मर
1478,worth,वर्थ,वर्थ
1479,sasaram,ससराम,सासाराम
1480,obrayan,ओब्रायन,ओब्रायन
1481,dehri,देहरी,डेहरी
1482,rohtak,रोहतक,रोहतक
1483,matiyaanaa,मतियाना,मतियाना
1484,moolon,मूलों,मूलों
1485,narm,नर्म,नरम
1486,talwar,तलवार,तलवार
1487,tonic,टोनिक,टॉनिक
1488,praarambhikataa,प्रामभारिकाता,प्रारंभिकता
1489,rojvelt,रोजवेल्ट,रुजवेल्ट
1490,javabah,जवाबाह,जवाबः
1491,milk,मिलक,मिल्क
1492,peepaadh,पीपाध,पीपाड़
1493,dhatna,धतना,धटना
1494,flynn,फ्लिनन,फ्लिन
1495,avarodhak,आवरौधक,अवरोधक
1496,gulshan,गुलशन,गुलशन
1497,shwing,श्विंग,श्विंग
1498,silchar,सिलचर,सिल्चर
1499,montclair,मॉंटेकलर,मोंटक्लेयर
1500,kakshaang,कक्षांग,कक्षांग
1501,gullaravaalaa,गुल्वरालााा,गुल्लरवाला
1502,shrunkhla,श्रुकल्ा,श्रंखला
1503,bhusi,भूसी,भूसी
1504,kaantipoorn,कानपत्रून,कांतिपूर्ण
1505,pyade,प्याडे,प्यादे
1506,anumar,अनुमार,अनुमार
1507,vikram,विकरम,विक्रम
1508,chalit,चलित,चालित
1509,sevaala,सेवाला,सेवाला
1510,pukhtaa,पुखता,पुख़्ता
1511,win,विन,डब्ल्यूआईएन
1512,takra,तक्रा,टकरा
1513,vegas,वेगास,वेगास
1514,kpo,कीपूई,केपीओ
1515,asurakshit,असुरक्षित,असुरक्षित
1516,peeechdablyooseees,पिडियोसाबीज,पीएचडब्ल्यूसीएस
1517,fazalon,फाजलों,फजलों
1518,paim,पैम,पैम
1519,mastek,मस्तक,मस्टेक
1520,maulviyon,मौल्यियों,मौलवियों
1521,nagarik,नागरिक,नागारिक
1522,bokaro,बोकरो,बोकारो
1523,solapur,सोलापुर,सोलापुर
1524,premphalah,प्रेम्फाहा,प्रेमफलः
1525,kissagoi,किससोगो,किस्सागोई
1526,jockey,जोके,जोकि
1527,vineet,विनी,विनीत
1528,ghunsa,घुंसा,घूंसा
1529,brigton,ब्रिग्टन,ब्रिगटन
1530,sumi,सुमी,सुमि
1531,svayamsveekrat,स्वा््याक्््रत,स्वयंस्वीकृत
1532,aurora,ओरोरा,ऑरोरा
1533,nikaalani,निकाली,निकालनी
1534,castalloy,कस्ट्लोयल,केस्टालॉय
1535,peedablyootee,पीजकोबा्ीी,पीडब्ल्यूटी
1536,plano,प्लानो,प्लानो
1537,kutta,कुत्ता,कुत्ता
1538,ropee,रोपी,रोपी
1539,manhattan,मन्हत्तन,मैनहट्टन
1540,lux,लुक्स,लक्स
1541,kaaryayojana,कार्ययोगााा,कार्ययोजना
1542,mantarimandaliya,मंतररमिििियााा,मंत्रिमंडलीय
1543,stops,स्टॉप्स,स्टॉप्स
1544,saabhaar,सभार,साभार
1545,varshan,वर्षण,वर्शन
1546,prayogaprushth,प्रायोग्षपुष्ट,प्रयोगपृष्ठ
1547,ghaziabad,घज़िबादा,ग़ाज़ियाबाद
1548,rupesh,रुपेश,रुपेश
1549,sangoshtree,संगोश्ट्री,संगोष्ट्री
1550,tribhaashaa,तृभाशाा,त्रिभाषा
1551,officially,ओफिफिलियल,ऑफिशियली
1552,liberation,लिब्रेशन,लिबरेशन
1553,nbcc,एनएसबीसी,एनबीसीसी
1554,maange,मांगे,मांगे
1555,teemaardaron,तिमारदारों,तीमारदारों
1556,suri,सुरी,सूरी
1557,dayton,दात्यों,डेटन
1558,chheenk,छींक,छींक
1559,dhndhe,ध्ने,धंधे
1560,sanshyon,संश्यों,संशयों
1561,fulaaye,फुलाये,फुलाए
1562,ainthey,एंथी,ऐंठे
1563,radico,राडिको,रेडिको
1564,jeevniyaan,जीनवियां,जीवनियां
1565,akzo,अक्जो,एक्ज़ो
1566,guna,गुना,गुना
